Term 1,Term 2,Term 3,Frequency,Context Frequency,Conditional Probability
no,seee,ósea,1,3,0.3333333333333333
imagennn,jajajaj,épico,1,1,1.0
ejercicios,de,álgebra,1,1,1.0
estan,bn,zzz,1,2,0.5
queso,con,zarzamora,1,1,1.0
the,strokes,yyy,1,1,1.0
es,real,yokreo,1,1,1.0
comer,un,yogurt,1,1,1.0
grasias,un,yogursito,1,1,1.0
me,muero,yo,1,2,0.5
es,ella,yo,1,1,1.0
de,examenes,yo,1,1,1.0
dijeran,samyang,yo,1,1,1.0
q,comprobarlo,yo,1,1,1.0
el,roblo,yo,1,2,0.5
lo,recuerdes,yo,1,1,1.0
tmb,si,yo,1,1,1.0
mucho,ceros,yo,1,1,1.0
jajajja,y,yo,1,1,1.0
rika,pero,yo,1,1,1.0
muero,tmb,yo,1,1,1.0
siii,mmm,yo,1,1,1.0
no,se,yo,2,16,0.125
perdone,siiii,yo,1,1,1.0
q,buenooo,yo,1,1,1.0
uy,no,yo,1,3,0.3333333333333333
tengo,tarea,yo,1,1,1.0
i,know,yo,1,1,1.0
deberian,hacerlo,yo,1,1,1.0
strokes,yyy,yo,1,1,1.0
a,gusto,yo,1,1,1.0
eyeyey,soy,yo,1,1,1.0
si,pero,yo,1,5,0.2
meovv,jajajaj,yo,1,1,1.0
escuchaste,nemonemo,yo,1,1,1.0
sign,ay,yo,1,1,1.0
entendi,tabn,yo,1,1,1.0
parece,si,yo,1,1,1.0
ya,segun,yo,1,1,1.0
traves,de,ymxb,1,1,1.0
cosas,el,yisu,1,1,1.0
solo,de,yeojun,1,1,1.0
cualeeees,porfiiii,yendo,1,1,1.0
miembros,pq,yena,1,1,1.0
de,keso,yea,1,1,1.0
vale,vale,yayaya,1,3,0.3333333333333333
jajajaj,avr,yap,1,1,1.0
sigue,chispeando,yap,1,1,1.0
tt,ntp,yaaa,1,1,1.0
otra,semana,ya,1,2,0.5
pero,ora,ya,1,1,1.0
mal,olaola,ya,1,1,1.0
cuales,compraste,ya,1,1,1.0
aburrida,pero,ya,1,1,1.0
dormi,pero,ya,1,1,1.0
soñe,nd,ya,1,4,0.25
bn,jajajaj,ya,1,1,1.0
neni,si,ya,1,1,1.0
kiero,q,ya,1,1,1.0
espero,jajajaj,ya,1,1,1.0
si,non,ya,1,1,1.0
gracias,si,ya,1,2,0.5
buldak,sip,ya,1,1,1.0
a,si,ya,1,5,0.2
panas,si,ya,1,1,1.0
desde,antes,ya,1,1,1.0
kpop,y,ya,1,1,1.0
o,k,ya,1,1,1.0
boomer,pq,ya,1,1,1.0
sabeee,no,ya,1,1,1.0
chika,x2,ya,1,1,1.0
dios,pues,ya,1,1,1.0
un,otaku,ya,1,3,0.3333333333333333
vdd,ahorita,ya,1,1,1.0
acabe,pero,ya,1,1,1.0
escuelaaaaaa,perfecto,ya,1,1,1.0
toy,cansaa,ya,1,2,0.5
es,no,ya,1,1,1.0
en,escuela,ya,1,1,1.0
al,menos,ya,1,1,1.0
el,hogar,ya,1,1,1.0
chambeando,jajajj,ya,1,1,1.0
se,preparo,ya,1,1,1.0
xd,nombre,ya,1,1,1.0
si,por,ya,1,1,1.0
como,empieza,ya,1,1,1.0
leche,si,ya,1,1,1.0
q,jajaja,ya,1,1,1.0
gravy,f,ya,1,1,1.0
de,kfc,ya,1,1,1.0
pavo,apocoooo,ya,1,1,1.0
pudiese,ser,ya,1,1,1.0
mandaste,jajajaja,ya,1,1,1.0
mejor,nd,ya,1,1,1.0
yogursito,tu,ya,1,1,1.0
tesis,y,ya,1,1,1.0
y,luego,ya,1,3,0.3333333333333333
ahora,si,ya,1,1,1.0
ntp,yaaa,ya,1,1,1.0
casa,sip,ya,1,1,1.0
si,cierto,ya,1,1,1.0
jajajajaj,olaaa,ya,1,1,1.0
olaaa,ya,ya,1,1,1.0
jajajaja,si,ya,1,3,0.3333333333333333
salia,pero,ya,1,1,1.0
q,fui,ya,1,1,1.0
quiere,ontas,ya,1,1,1.0
q,acaba,ya,1,1,1.0
x2,siii,ya,1,1,1.0
no,jajaj,ya,1,2,0.5
la,enseño,ya,1,1,1.0
pero,bueno,ya,1,1,1.0
tiene,caso,ya,1,1,1.0
jajajaja,y,ya,1,2,0.5
chispeando,yap,ya,1,1,1.0
aaaa,xcierto,ya,1,1,1.0
q,apurale,ya,1,1,1.0
o,sea,ya,1,6,0.16666666666666666
