Term 1,Term 2,Frequency,Context Frequency,Conditional Probability
>,<,12341,12342,0.9999189758548047
<,y,991,12342,0.08029492788851078
xd,>,786,796,0.9874371859296482
?,>,721,746,0.9664879356568364
<,ya,583,12342,0.04723707664884135
<,si,547,12342,0.0443202074218117
<,no,416,12342,0.033706044401231566
<,pero,345,12342,0.027953330092367525
",",>,287,288,0.9965277777777778
<,a,264,12342,0.0213903743315508
<,me,248,12342,0.02009398800842651
<,que,226,12342,0.01831145681413061
<,es,225,12342,0.018230432668935342
voy,a,214,310,0.6903225806451613
<,pq,208,12342,0.016853022200615783
no,se,206,1357,0.1518054532056006
bro,>,191,267,0.7153558052434457
que,me,189,2280,0.08289473684210526
<,simon,184,12342,0.014908442715929346
es,que,183,752,0.24335106382978725
<,el,182,12342,0.01474639442553881
en,el,180,1027,0.17526777020447906
<,ok,174,12342,0.014098201263976665
<,yo,164,12342,0.013287959812023983
si,>,156,1364,0.11436950146627566
de,la,155,1853,0.08364813815434431
no,me,140,1357,0.10316875460574797
y,ya,133,2006,0.06630109670987039
que,no,132,2280,0.05789473684210526
ok,>,123,282,0.43617021276595747
lo,que,123,824,0.14927184466019416
ya,me,122,1187,0.10278011794439765
que,si,119,2280,0.052192982456140354
va,a,117,283,0.4134275618374558
creo,que,116,175,0.6628571428571428
si,me,116,1364,0.08504398826979472
a,ver,115,1804,0.06374722838137473
<,bueno,115,12342,0.009317776697455841
<,en,112,12342,0.009074704261870037
a,la,112,1804,0.06208425720620843
<,o,111,12342,0.00899368011667477
en,la,111,1027,0.10808179162609542
<,lo,107,12342,0.008669583535893696
<,vavava,106,12342,0.008588559390698428
de,que,106,1853,0.057204533189422556
simon,>,105,201,0.5223880597014925
a,mi,105,1804,0.0582039911308204
<,se,104,12342,0.008426511100307892
<,como,103,12342,0.008345486955112624
gracias,>,99,172,0.5755813953488372
<,ontas,97,12342,0.007859342083941014
<,ahorita,97,12342,0.007859342083941014
<,de,93,12342,0.007535245503159942
ontas,>,91,97,0.9381443298969072
no,>,91,1357,0.06705969049373618
se,me,91,832,0.109375
ok,ok,90,282,0.3191489361702128
we,>,89,129,0.689922480620155
<,va,89,12342,0.007211148922378869
no,te,89,1357,0.0655858511422255
<,xd,89,12342,0.007211148922378869
si,no,89,1364,0.06524926686217009
<,gracias,88,12342,0.0071301247771836
mi,mamá,87,598,0.1454849498327759
<,la,85,12342,0.006887052341597796
vavava,>,85,108,0.7870370370370371
<,por,83,12342,0.0067250040512072595
y,no,83,2006,0.041375872382851446
y,me,83,2006,0.041375872382851446
<,te,79,12342,0.006400907470426187
y,si,79,2006,0.03938185443668993
ntp,>,79,98,0.8061224489795918
que,se,79,2280,0.03464912280701754
bien,>,76,240,0.31666666666666665
va,>,75,283,0.26501766784452296
<,hoy,75,12342,0.006076810889645114
men,>,74,114,0.6491228070175439
<,oye,74,12342,0.005995786744449846
<,pues,72,12342,0.00583373845405931
<,voy,72,12342,0.00583373845405931
<,ahora,71,12342,0.005752714308864042
con,el,71,450,0.15777777777777777
lo,de,70,824,0.08495145631067962
<,porque,69,12342,0.005590666018473505
quieres,jugar,69,110,0.6272727272727273
que,ya,69,2280,0.030263157894736843
a,las,69,1804,0.03824833702882483
<,para,68,12342,0.005509641873278237
ya,>,67,1187,0.05644481887110362
<,mira,67,12342,0.005428617728082969
es,el,66,752,0.08776595744680851
de,los,64,1853,0.03453858607663249
jajajaja,>,63,65,0.9692307692307692
de,mi,63,1853,0.033998920669185105
se,ve,61,832,0.0733173076923077
<,le,60,12342,0.004861448711716091
te,preocupes,59,454,0.1299559471365639
ya,no,59,1187,0.04970513900589722
jajaja,>,58,64,0.90625
se,>,58,832,0.06971153846153846
que,te,57,2280,0.025
por,eso,57,375,0.152
<,solo,57,12342,0.004618376276130287
que,es,56,2280,0.02456140350877193
para,que,56,435,0.12873563218390804
y,el,56,2006,0.027916251246261216
y,que,56,2006,0.027916251246261216
yo,creo,54,315,0.17142857142857143
<,e,53,12342,0.004294279695349214
<,ufff,53,12342,0.004294279695349214
que,tal,53,2280,0.02324561403508772
ya,se,52,1187,0.04380791912384162
si,se,51,1364,0.0373900293255132
<,al,51,12342,0.004132231404958678
pero,no,50,521,0.09596928982725528
<,vavavava,50,12342,0.00405120725976341
<,eiii,49,12342,0.003970183114568141
a,lo,49,1804,0.027161862527716185
<,we,48,12342,0.003889158969372873
eso,>,48,210,0.22857142857142856
<,mi,48,12342,0.003889158969372873
la,de,48,1400,0.03428571428571429
mañana,>,48,177,0.2711864406779661
que,le,48,2280,0.021052631578947368
<,tengo,48,12342,0.003889158969372873
<,ni,47,12342,0.003808134824177605
<,nmms,47,12342,0.003808134824177605
vas,a,47,60,0.7833333333333333
un,poco,47,732,0.06420765027322405
me,avisas,47,1520,0.030921052631578946
es,la,47,752,0.0625
<,ntp,46,12342,0.0037271106789823366
<,ps,46,12342,0.0037271106789823366
vavavava,>,46,50,0.92
<,tons,46,12342,0.0037271106789823366
<,hasta,46,12342,0.0037271106789823366
que,el,46,2280,0.02017543859649123
<,esta,46,12342,0.0037271106789823366
pero,si,45,521,0.08637236084452975
y,se,45,2006,0.02243270189431705
eiii,>,45,49,0.9183673469387755
<,ahi,45,12342,0.0036460865337870686
ver,si,44,175,0.25142857142857145
a,que,44,1804,0.024390243902439025
un,chingo,44,732,0.060109289617486336
<,estoy,43,12342,0.003484038243396532
bueno,>,43,186,0.23118279569892472
y,lo,43,2006,0.02143569292123629
en,mi,43,1027,0.04186952288218111
y,pues,42,2006,0.020937188434695914
ya,lo,42,1187,0.03538331929233361
que,lo,42,2280,0.018421052631578946
preocupes,>,42,59,0.711864406779661
<,también,42,12342,0.003403014098201264
a,prender,42,1804,0.02328159645232816
ya,voy,41,1187,0.03454085930918281
<,quieres,41,12342,0.0033219899530059958
<,mañana,41,12342,0.0033219899530059958
<,ando,41,12342,0.0033219899530059958
<,con,41,12342,0.0033219899530059958
juego,>,41,95,0.43157894736842106
<,creo,40,12342,0.0032409658078107278
y,en,40,2006,0.019940179461615155
con,la,40,450,0.08888888888888889
a,los,40,1804,0.022172949002217297
al,rato,40,329,0.12158054711246201
<,chale,40,12342,0.0032409658078107278
no,lo,40,1357,0.029476787030213707
y,la,39,2006,0.019441674975074777
a,un,39,1804,0.021618625277161862
de,las,39,1853,0.021046950890447922
pq,no,38,369,0.10298102981029811
:,000,38,78,0.48717948717948717
aun,no,38,75,0.5066666666666667
y,le,38,2006,0.018943170488534396
en,un,38,1027,0.03700097370983447
<,mejor,38,12342,0.0030789175174201914
si,ya,38,1364,0.02785923753665689
<,deja,38,12342,0.0030789175174201914
si,lo,38,1364,0.02785923753665689
<,cuando,37,12342,0.002997893372224923
y,yo,37,2006,0.018444666001994018
me,lo,37,1520,0.024342105263157894
ufff,>,36,77,0.4675324675324675
me,voy,36,1520,0.02368421052631579
iba,a,36,46,0.782608695652174
mira,>,36,93,0.3870967741935484
el,juego,36,1576,0.02284263959390863
un,buen,36,732,0.04918032786885246
000,>,36,38,0.9473684210526315
<,:,36,12342,0.002916869227029655
el,de,35,1576,0.022208121827411168
es,un,35,752,0.04654255319148936
van,a,35,47,0.7446808510638298
ya,le,35,1187,0.02948609941027801
con,mi,35,450,0.07777777777777778
<,entonces,35,12342,0.0028358450818343865
<,pinche,35,12342,0.0028358450818343865
<,claro,34,12342,0.0027548209366391185
nmms,>,34,80,0.425
nada,>,34,83,0.40963855421686746
2,>,33,138,0.2391304347826087
<,listo,33,12342,0.00267379679144385
si,bro,33,1364,0.024193548387096774
jugar,?,33,162,0.2037037037037037
.,>,33,72,0.4583333333333333
ya,estoy,33,1187,0.02780117944397641
alv,>,33,50,0.66
mi,hermano,32,598,0.05351170568561873
y,como,32,2006,0.015952143569292122
a,ser,32,1804,0.017738359201773836
no,le,32,1357,0.023581429624170966
creo,>,32,175,0.18285714285714286
<,wenas,31,12342,0.0025117485010533137
me,siento,31,1520,0.020394736842105264
ver,>,31,175,0.17714285714285713
no,tengo,31,1357,0.022844509948415623
ya,tengo,31,1187,0.02611625947767481
si,quieres,31,1364,0.022727272727272728
<,un,31,12342,0.0025117485010533137
lo,del,30,824,0.03640776699029126
<,asi,30,12342,0.0024307243558580457
pedo,>,30,58,0.5172413793103449
lo,mejor,30,824,0.03640776699029126
se,si,30,832,0.036057692307692304
te,digo,30,454,0.06607929515418502
<,ptm,30,12342,0.0024307243558580457
me,va,30,1520,0.019736842105263157
claro,>,30,36,0.8333333333333334
y,a,30,2006,0.014955134596211365
a,ir,29,1804,0.01607538802660754
se,que,29,832,0.03485576923076923
<,eso,29,12342,0.0023497002106627773
xddd,>,29,29,1.0
es,de,29,752,0.03856382978723404
y,eso,29,2006,0.014456630109670987
por,el,29,375,0.07733333333333334
no,hay,29,1357,0.021370670596904937
wenas,>,29,37,0.7837837837837838
<,aunque,29,12342,0.0023497002106627773
<,tu,29,12342,0.0023497002106627773
acabo,de,29,39,0.7435897435897436
prender,>,28,67,0.417910447761194
como,que,28,424,0.0660377358490566
avisas,>,28,48,0.5833333333333334
asi,>,28,129,0.21705426356589147
no,?,28,1357,0.020633750921149593
ahora,si,28,133,0.21052631578947367
digo,que,28,68,0.4117647058823529
todo,>,28,111,0.25225225225225223
que,la,28,2280,0.012280701754385965
a,jugar,28,1804,0.015521064301552107
que,en,28,2280,0.012280701754385965
la,verdad,27,1400,0.019285714285714285
no,creo,27,1357,0.01989683124539425
<,tambien,27,12342,0.0021876519202722413
miedo,>,27,48,0.5625
es,lo,27,752,0.03590425531914894
de,un,27,1853,0.01457096600107933
<,los,27,12342,0.0021876519202722413
para,el,27,435,0.06206896551724138
<,pos,26,12342,0.002106627775076973
ª,>,26,30,0.8666666666666667
<,bro,26,12342,0.002106627775076973
unu,>,26,26,1.0
gracias,bro,26,172,0.1511627906976744
<,ª,26,12342,0.002106627775076973
<,aun,26,12342,0.002106627775076973
mi,casa,26,598,0.043478260869565216
la,historia,26,1400,0.018571428571428572
verga,>,26,59,0.4406779661016949
me,dijo,26,1520,0.017105263157894738
tengo,miedo,26,215,0.12093023255813953
en,una,26,1027,0.02531645569620253
es,una,26,752,0.034574468085106384
rato,>,26,72,0.3611111111111111
esta,>,26,256,0.1015625
madre,>,26,63,0.4126984126984127
mi,estimado,25,598,0.04180602006688963
me,dieron,25,1520,0.01644736842105263
prendo,>,25,69,0.36231884057971014
figue,>,25,34,0.7352941176470589
de,hecho,25,1853,0.013491635186184566
me,la,25,1520,0.01644736842105263
<,uff,25,12342,0.002025603629881705
a,>,25,1804,0.01385809312638581
no,es,25,1357,0.018422991893883568
pero,ya,25,521,0.04798464491362764
ya,quedo,24,1187,0.020219039595619208
),>,24,51,0.47058823529411764
y,pos,24,2006,0.011964107676969093
en,lo,24,1027,0.023369036027263874
le,dije,24,377,0.0636604774535809
<,nop,24,12342,0.0019445794846864365
si,es,24,1364,0.017595307917888565
y,te,24,2006,0.011964107676969093
chale,>,24,48,0.5
su,madre,24,148,0.16216216216216217
si,ntp,24,1364,0.017595307917888565
<,sale,24,12342,0.0019445794846864365
ando,en,24,132,0.18181818181818182
pq,me,24,369,0.06504065040650407
<,namas,24,12342,0.0019445794846864365
tengo,que,24,215,0.11162790697674418
ganas,de,23,33,0.696969696969697
mejor,>,23,148,0.1554054054054054
me,quedo,23,1520,0.015131578947368421
o,no,23,289,0.07958477508650519
para,la,23,435,0.052873563218390804
si,la,23,1364,0.01686217008797654
me,gusto,23,1520,0.015131578947368421
terraria,>,23,54,0.42592592592592593
<,xddd,23,12342,0.0018635553394911683
vamos,a,23,34,0.6764705882352942
en,su,23,1027,0.022395326192794548
si,le,22,1364,0.016129032258064516
e,we,22,63,0.3492063492063492
las,7,22,322,0.06832298136645963
<,jajajaja,22,12342,0.0017825311942959
