Term 1,Term 2,Term 3,Frequency,Context Frequency,Conditional Probability
a,jajaja,😅,1,10,0.1
la,tengo,😅,1,2,0.5
gracias,☺,️,2,2,1.0
atrasado,☺,️,1,1,1.0
sip,☺,️,1,1,1.0
<,gracias,☺,2,7,0.2857142857142857
regalo,atrasado,☺,1,1,1.0
<,sip,☺,1,37,0.02702702702702703
es,el,único,1,5,0.2
es,la,única,1,2,0.5
y,los,últimos,1,1,1.0
tendrás,el,último,1,1,1.0
hasta,el,último,1,3,0.3333333333333333
de,las,últimas,1,10,0.1
a,tu,última,1,2,0.5
sale,la,última,1,1,1.0
por,dónde,íbamos,1,1,1.0
está,con,él,1,1,1.0
dice,que,él,1,2,0.5
mira,según,yo,1,1,1.0
esme,y,yo,1,3,0.3333333333333333
entonces,si,yo,1,5,0.2
tu,y,yo,1,1,1.0
si,no,yo,1,6,0.16666666666666666
la,hago,yo,2,2,1.0
<,si,yo,1,23,0.043478260869565216
jaja,como,yo,1,1,1.0
aunque,igual,yo,1,1,1.0
quedar,jajaja,yo,1,1,1.0
pero,según,yo,1,2,0.5
minería,entonces,yo,1,1,1.0
lo,que,yo,1,29,0.034482758620689655
es,que,yo,1,28,0.03571428571428571
porque,según,yo,1,2,0.5
si,jaja,yo,1,6,0.16666666666666666
si,jajaj,yo,1,2,0.5
lo,digo,yo,1,1,1.0
vayas,porque,yo,1,1,1.0
está,raro,yo,1,1,1.0
no,jaja,yo,1,6,0.16666666666666666
si,según,yo,1,1,1.0
mal,pero,ye,1,1,1.0
<,a,yayaya,1,69,0.014492753623188406
<,o,yayaya,1,8,0.125
<,a,yaya,1,69,0.014492753623188406
<,y,yap,1,11,0.09090909090909091
<,a,ya,3,69,0.043478260869565216
los,que,ya,1,1,1.0
mucho,:3,ya,1,1,1.0
<,o,ya,1,8,0.125
o,ya,ya,1,2,0.5
ya,ya,ya,1,3,0.3333333333333333
y,pues,ya,1,5,0.2
seria,así,ya,1,1,1.0
clase,o,ya,1,1,1.0
ahorita,alomejor,ya,1,1,1.0
<,ooo,ya,1,1,1.0
ooo,ya,ya,1,1,1.0
examen,bueno,ya,1,1,1.0
conclusión,pero,ya,1,1,1.0
<,chi,ya,1,4,0.25
pensé,que,ya,1,5,0.2
nooooo,jajajajaja,ya,1,1,1.0
<,aaaa,ya,1,1,1.0
holaa,oye,ya,2,5,0.4
2,y,ya,1,1,1.0
de,datos,ya,1,5,0.2
<,oye,ya,1,35,0.02857142857142857
este,parcial,ya,1,1,1.0
oye,oye,ya,3,12,0.25
que,ahorita,ya,2,4,0.5
si,quieres,ya,2,16,0.125
delimitemos,más,ya,1,1,1.0
y,esto,ya,1,2,0.5
lo,platicamos,ya,1,1,1.0
la,verdad,ya,1,1,1.0
pues,si,ya,1,11,0.09090909090909091
información,y,ya,1,2,0.5
jajajaja,y,ya,1,1,1.0
